Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion;Valor;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
13/04/2026;2026;4;13;Refrigerios y bienestar comercial;Pan de bono;6000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
13/03/2026;2026;3;13;Refrigerios y bienestar comercial;Almuerzo Juan-Pollo arana;33000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
13/04/2026;2026;4;13;Tela;Tela Studuio F azul-pantalones NSC administrativos;140000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Nómina Yaneth;Pago quincena Yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
4/05/2026;2026;5;4;Domicilios entrega almacen;Moto taller;10000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
4/05/2026;2026;5;4;Refrigerios y bienestar comercial;Pan de bono;6000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
5/05/2026;2026;5;5;GASTOS CASA/PERSONALES;Queso Clelia;50000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
5/05/2026;2026;5;5;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
5/05/2026;2026;5;5;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
5/05/2026;2026;5;5;GASTOS CASA/PERSONALES;Juan Camilo;5000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
5/01/2026;2026;1;5;Agua almacen;Servico agua;150630;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
6/05/2026;2026;5;6;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
6/05/2026;2026;5;6;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
